Time:ulong,Power:float,Energy:float
"14615000000","13.42737","73159.8"
"14615500000","13.42737","73166.5"
"14616000000","13.42737","73173.3"
"14616500000","13.42737","73180.0"
"14617000000","13.42737","73186.7"
"14617500000","13.42737","73193.4"
"14618000000","13.42737","73200.1"
"14618500000","13.42737","73206.8"
"14619000000","13.42737","73213.5"
"14619500000","13.42737","73220.2"
"14620000000","13.42737","73227.0"
"14620500000","13.42737","73233.7"
"14621000000","13.42737","73240.4"
"14621500000","13.42737","73247.1"
"14622000000","13.25016","73253.8"
"14622500000","13.25016","73260.5"
"14623000000","13.25016","73266.9"
"14623500000","13.25016","73273.6"
"14624000000","13.42737","73280.3"
"14624500000","13.42737","73287.0"
"14625000000","13.42737","73293.7"
"14625500000","13.42737","73300.5"
"14626000000","13.42737","73307.2"
"14626500000","13.42737","73313.9"
"14627000000","13.42737","73320.6"
"14627500000","13.42737","73327.3"
"14628000000","13.42737","73334.0"
"14628500000","13.42737","73340.7"
"14629000000","13.42737","73347.5"
"14629500000","13.42737","73354.2"
"14630000000","13.42737","73360.9"
"14630500000","13.42737","73367.6"
"14631000000","13.42737","73374.3"
"14631500000","13.42737","73381.0"
"14632000000","13.25016","73387.7"
"14632500000","13.25016","73394.4"
"14633000000","13.25016","73401.2"
"14633500000","13.25016","73407.5"
"14634000000","13.42737","73414.6"
"14634500000","13.42737","73421.3"
"14635000000","13.42737","73427.7"
"14635500000","13.42737","73434.4"
"14636000000","13.42737","73441.1"
"14636500000","13.42737","73447.8"
"14637000000","13.42737","73454.5"
"14637500000","13.42737","73461.2"
"14638000000","13.42737","73467.9"
"14638500000","13.42737","73474.7"
"14639000000","13.42737","73481.4"
"14639500000","13.42737","73488.1"
"14640000000","13.42737","73494.8"
"14640500000","13.42737","73501.5"
"14641000000","13.42737","73508.2"
"14641500000","13.42737","73514.9"
"14642000000","13.42737","73521.7"
"14642500000","13.42737","73528.4"
"14643000000","13.42737","73535.1"
"14643500000","13.42737","73541.8"
"14644000000","13.25016","73548.5"
"14644500000","13.25016","73555.2"
"14645000000","13.25016","73561.9"
"14645500000","13.25016","73568.3"
"14646000000","13.42737","73575.0"
"14646500000","13.42737","73581.7"
"14647000000","13.42737","73588.4"
"14647500000","13.42737","73595.1"
"14648000000","13.42737","73601.9"
"14648500000","13.42737","73608.6"
"14649000000","13.42737","73615.3"
"14649500000","13.42737","73622.0"
"14650000000","13.42737","73628.7"
"14650500000","13.42737","73635.4"
"14651000000","13.42737","73642.1"
"14651500000","13.42737","73648.9"
"14652000000","13.42737","73655.6"
"14652500000","13.42737","73662.3"
"14653000000","13.42737","73669.0"
"14653500000","13.42737","73675.7"
"14654000000","13.42737","73682.4"
"14654500000","13.42737","73689.1"
"14655000000","13.42737","73695.9"
"14655500000","13.42737","73702.6"
"14656000000","13.42737","73709.3"
"14656500000","13.42737","73716.0"
"14657000000","13.42737","73722.7"
"14657500000","13.42737","73729.4"
"14658000000","13.42737","73736.1"
"14658500000","13.42737","73742.8"
"14659000000","13.42737","73749.6"
"14659500000","13.42737","73756.3"
"14660000000","13.25016","73763.0"
"14660500000","13.25016","73769.7"
"14661000000","13.25016","73776.1"
"14661500000","13.25016","73782.8"
"14662000000","13.42737","73789.5"
"14662500000","13.42737","73796.2"
"14663000000","13.42737","73802.9"
"14663500000","13.42737","73809.6"
"14664000000","13.42737","73816.3"
"14664500000","13.42737","73823.1"
"14665000000","13.42737","73829.8"
"14665500000","13.42737","73836.5"
"14666000000","13.42737","73843.2"
"14666500000","13.42737","73849.9"
"14667000000","13.42737","73856.6"
"14667500000","13.42737","73863.3"
"14668000000","13.42737","73870.1"
"14668500000","13.42737","73876.8"
